iteration,matches,theta_deg,tx,ty,target_centroid_x,target_centroid_y,source_centroid_x,source_centroid_y,centroid_distance,rmse_source_to_target,rmse_target_to_source,symmetric_chamfer_rmse,median_distance,p95_distance,max_distance,coverage,match_rmse,profile_score,score_variation,transform_step
0,0,0.0000000000,0.0000000000,0.0000000000,4860.4952257433,5000.2486525847,5453.5731904657,4524.8085111591,760.1215694335,534.4702790898,396.9373480274,470.7535116647,152.2934328579,966.0712507156,14142.1356237310,0.8011200000,0.0000000000,0.0467244779,0.0000000000,0.0000000000
1,81634,-0.2954985769,-39.0823212485,31.0382833630,4860.4952257433,5000.2486525847,5437.7545880366,4527.6603572665,746.0348974592,489.1121014693,388.4309823020,441.6499042317,150.6303783401,944.8367994079,14142.1356237310,0.8031550000,159.4015527862,0.0444175226,0.0493735928,0.0061077361
2,81825,-0.5876750510,-77.4774931648,61.2007590975,4860.4952257433,5000.2486525847,5422.2183673081,4529.8356791509,732.6808673250,432.6193431888,380.0864007570,407.2009136418,149.2949877318,924.0757717479,14142.1356237310,0.8055450000,158.4382833591,0.0417455430,0.0601559804,0.0060024181
3,82026,-0.8734837330,-115.0088582836,90.4837856261,4860.4952257433,5000.2486525847,5406.9093878643,4531.6290758955,719.8421661884,393.9446952781,371.9242801166,383.0927388231,148.2817068186,904.5153930548,14142.1356237310,0.8087300000,157.6066533363,0.0398138793,0.0462723339,0.0058607071
4,82211,-1.1363984736,-149.5958232325,117.6578418297,4860.4952257433,5000.2486525847,5392.6434227627,4533.4178836089,707.8931207841,363.0209537706,364.3661059995,363.6941517799,147.4892438552,886.3111775405,1473.7071505808,0.8131450000,156.8146598330,0.0382309608,0.0397579575,0.0054050820
5,82419,-1.3867885746,-182.0572458460,144.0041059328,4860.4952257433,5000.2486525847,5379.4264686611,4535.5017433790,696.6199282912,355.9280797663,357.2486635791,356.5889830008,146.6859280473,869.5600601697,1447.5281075656,0.8180500000,156.4095714985,0.0375292657,0.0183541052,0.0051411168
6,82739,-1.6508008680,-215.8277396192,171.7092005468,4860.4952257433,5000.2486525847,5365.8323717819,4537.5336366891,685.1794050478,348.6562865995,349.8254457768,349.2413554394,145.9711145004,852.8561037887,1420.2382713593,0.8235500000,156.7766383353,0.0368074682,0.0192329241,0.0053923973
7,83176,-1.9458318258,-252.7310661763,202.0285565098,4860.4952257433,5000.2486525847,5351.3357196386,4539.0538119756,673.5169422159,340.9039717959,341.7173908807,341.3109236580,145.1141331787,834.5864136116,1390.3538652900,0.8289350000,157.6590641460,0.0360405368,0.0208362979,0.0059520203
8,83789,-2.2881324135,-294.7440379448,236.6893925816,4860.4952257433,5000.2486525847,5335.1331538498,4540.1572281457,661.0334950965,332.2999836983,332.4720476073,332.3860267867,143.9325141505,814.7766452716,1356.2474677257,0.8341000000,159.2083577726,0.0351887730,0.0236334927,0.0068391345
9,84406,-2.6563872486,-339.3789734150,273.8687917279,4860.4952257433,5000.2486525847,5318.0412481035,4541.0633084540,648.2280022045,323.3630629607,322.6154384107,322.9894670018,142.0206185388,793.8087925464,1319.9048114047,0.8380350000,160.2496291289,0.0342979646,0.0253151306,0.0073223601
