frame,theta_rad,theta_deg,tx,ty
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,-0.0051574231,-0.2954985769,-39.0823212485,31.0382833630
3,-0.0102568646,-0.5876750510,-77.4774931648,61.2007590975
4,-0.0152451671,-0.8734837330,-115.0088582836,90.4837856261
5,-0.0198338950,-1.1363984736,-149.5958232325,117.6578418297
6,-0.0242040267,-1.3867885746,-182.0572458460,144.0041059328
7,-0.0288119104,-1.6508008680,-215.8277396192,171.7092005468
8,-0.0339611721,-1.9458318258,-252.7310661763,202.0285565098
9,-0.0399354443,-2.2881324135,-294.7440379448,236.6893925816
10,-0.0529772942,-3.0353753651,-384.4699421585,312.2391134061
11,-0.0662314167,-3.7947806509,-472.1211524828,389.6586486111
12,-0.0796912791,-4.5659739539,-557.5681399458,468.3933770333
13,-0.0961891404,-5.5112317781,-662.4659014358,561.3777634609
14,-0.1130052798,-6.4747255924,-768.9118973501,653.7912179616
15,-0.1330004978,-7.6203671963,-887.4130975925,761.0441831537
16,-0.1559288012,-8.9340622154,-1009.9660478175,880.5271389285
17,-0.1796012140,-10.2903915554,-1124.8582737883,1003.8938265130
18,-0.2000025499,-11.4593020011,-1219.2674165063,1113.4825450811
19,-0.2174229912,-12.4574197636,-1298.8208550453,1206.1743890206
20,-0.2384928431,-13.6646333561,-1396.6269371830,1318.6980434258
21,-0.2666795511,-15.2796127630,-1531.4155936838,1482.2874652882
22,-0.2875103892,-16.4731318655,-1625.5420305540,1609.6622096936
23,-0.2979719936,-17.0725376453,-1667.1448752268,1675.2618256521
24,-0.3040054272,-17.4182279268,-1688.4514561279,1713.9931306091
25,-0.3080853172,-17.6519884067,-1701.8312388374,1740.7568356706
26,-0.3110754817,-17.8233122130,-1711.0236110844,1760.6546811200
27,-0.3133400326,-17.9530614210,-1717.7370484295,1775.8103161740
28,-0.3142631599,-18.0059527164,-1720.4109494123,1781.9800571810
