Using local file ./point_cloud_collimation.
Using local file point_cloud.prof.
Total: 3336 samples
     600  18.0%  18.0%      600  18.0% 0x000056d6299abca9
     431  12.9%  30.9%      431  12.9% 0x000056d6299abcc3
     387  11.6%  42.5%      387  11.6% 0x000056d6299abcd7
     216   6.5%  49.0%      216   6.5% 0x000056d6299abd64
     193   5.8%  54.8%      193   5.8% 0x000056d6299abcb2
     179   5.4%  60.1%      179   5.4% 0x000056d6299abd81
     170   5.1%  65.2%      170   5.1% 0x000056d6299abda6
     155   4.6%  69.9%      155   4.6% 0x000056d6299abd89
     154   4.6%  74.5%      154   4.6% 0x000056d6299abd70
     120   3.6%  78.1%      120   3.6% 0x000056d6299abc93
     109   3.3%  81.4%      109   3.3% 0x000056d6299abd9a
      97   2.9%  84.3%       97   2.9% 0x000056d6299abcba
      67   2.0%  86.3%       67   2.0% 0x000056d6299abcca
      34   1.0%  87.3%       34   1.0% 0x000056d6299abcb6
      29   0.9%  88.2%       29   0.9% 0x000056d6299abc23
      20   0.6%  88.8%       20   0.6% 0x000056d6299abc35
      19   0.6%  89.3%       19   0.6% 0x000056d6299abc3b
      19   0.6%  89.9%       19   0.6% 0x000056d6299abcae
      16   0.5%  90.4%       16   0.5% 0x000056d6299abdaa
      15   0.4%  90.8%       15   0.4% 0x000056d6299abd91
      14   0.4%  91.2%       14   0.4% 0x000056d6299abc30
      14   0.4%  91.7%       14   0.4% 0x000056d6299abc38
      14   0.4%  92.1%       14   0.4% 0x000056d6299abc40
      10   0.3%  92.4%       10   0.3% 0x000056d6299abdb8
       9   0.3%  92.7%        9   0.3% 0x000056d6299abc26
       9   0.3%  92.9%        9   0.3% 0x000056d6299abcde
       9   0.3%  93.2%        9   0.3% __memcpy_avx_unaligned_erms
       8   0.2%  93.4%        8   0.2% 0x000056d6299abcf4
       8   0.2%  93.7%        8   0.2% 0x000056d6299abd8c
       6   0.2%  93.9%        6   0.2% 0x000056d6299abc11
       6   0.2%  94.0%        6   0.2% 0x000056d6299abc33
       6   0.2%  94.2%        6   0.2% 0x000056d6299abc4e
       6   0.2%  94.4%        6   0.2% 0x000056d6299abd5c
       5   0.1%  94.5%        5   0.1% 0x000056d6299a741d
       5   0.1%  94.7%        5   0.1% 0x000056d6299abb63
       5   0.1%  94.8%        5   0.1% 0x000056d6299abc47
       5   0.1%  95.0%        5   0.1% 0x000056d6299abc7a
       5   0.1%  95.1%        5   0.1% 0x000056d6299abd94
       5   0.1%  95.3%        5   0.1% libc_feholdsetround_sse_ctx
       4   0.1%  95.4%        4   0.1% 0x000056d6299abc2e
       4   0.1%  95.5%        4   0.1% 0x000056d6299abca5
       4   0.1%  95.7%        4   0.1% 0x000056d6299abcc5
       4   0.1%  95.8%        4   0.1% 0x000056d6299abcdb
       4   0.1%  95.9%        4   0.1% 0x000056d6299adda9
       4   0.1%  96.0%        4   0.1% 0x000056d6299addc7
       3   0.1%  96.1%        3   0.1% 0x000056d6299a797f
       3   0.1%  96.2%        3   0.1% 0x000056d6299a799d
       3   0.1%  96.3%        3   0.1% 0x000056d6299abc53
       3   0.1%  96.4%        3   0.1% 0x000056d6299abca2
       3   0.1%  96.5%        3   0.1% 0x000056d6299abcfe
       3   0.1%  96.6%        3   0.1% 0x000056d6299abd68
       3   0.1%  96.6%        3   0.1% 0x000056d6299addc0
       2   0.1%  96.7%        2   0.1% 0x000056d6299a7428
       2   0.1%  96.8%        2   0.1% 0x000056d6299a743a
       2   0.1%  96.8%        2   0.1% 0x000056d6299abb1a
       2   0.1%  96.9%        2   0.1% 0x000056d6299abb57
       2   0.1%  96.9%        2   0.1% 0x000056d6299abbb5
       2   0.1%  97.0%        2   0.1% 0x000056d6299abc4b
       2   0.1%  97.1%        2   0.1% 0x000056d6299abc89
