region,iteration,milliseconds
generate_target,0,5.168023
prepare_source,0,16.505170
grid_index_icp,0,2.598885
profile_metrics,0,403.453176
nearest_neighbors,1,190.801603
estimate_transform,1,0.289448
profile_metrics,1,395.179457
nearest_neighbors,2,186.227686
estimate_transform,2,0.270770
profile_metrics,2,387.617937
nearest_neighbors,3,181.933589
estimate_transform,3,0.338652
profile_metrics,3,376.749412
nearest_neighbors,4,180.001037
estimate_transform,4,0.246825
profile_metrics,4,372.937850
nearest_neighbors,5,175.917019
estimate_transform,5,0.358220
profile_metrics,5,366.306384
nearest_neighbors,6,174.041230
estimate_transform,6,0.350116
profile_metrics,6,357.668992
nearest_neighbors,7,170.636030
estimate_transform,7,0.389503
profile_metrics,7,354.046859
nearest_neighbors,8,168.784483
estimate_transform,8,0.292660
profile_metrics,8,347.293179
nearest_neighbors,9,165.494165
estimate_transform,9,0.378430
profile_metrics,9,341.347849
nearest_neighbors,10,162.343506
estimate_transform,10,0.293180
profile_metrics,10,331.825155
nearest_neighbors,11,160.535780
estimate_transform,11,0.375919
profile_metrics,11,327.903258
nearest_neighbors,12,157.716625
estimate_transform,12,0.303221
profile_metrics,12,321.097877
nearest_neighbors,13,155.579661
estimate_transform,13,0.388498
profile_metrics,13,316.198598
nearest_neighbors,14,154.284871
estimate_transform,14,0.372692
profile_metrics,14,313.187964
nearest_neighbors,15,151.922848
estimate_transform,15,0.330960
profile_metrics,15,307.607786
nearest_neighbors,16,151.584978
estimate_transform,16,0.485891
profile_metrics,16,305.531302
nearest_neighbors,17,149.500947
estimate_transform,17,0.368832
profile_metrics,17,301.230798
nearest_neighbors,18,148.843124
estimate_transform,18,0.352840
profile_metrics,18,301.215948
nearest_neighbors,19,146.798567
estimate_transform,19,0.329869
profile_metrics,19,298.127404
nearest_neighbors,20,147.978118
estimate_transform,20,0.337620
profile_metrics,20,296.962344
nearest_neighbors,21,148.722913
estimate_transform,21,0.415312
profile_metrics,21,298.808231
nearest_neighbors,22,150.815015
estimate_transform,22,0.397737
profile_metrics,22,298.243258
nearest_neighbors,23,152.083850
estimate_transform,23,0.410809
profile_metrics,23,302.503723
nearest_neighbors,24,153.909905
estimate_transform,24,0.369384
profile_metrics,24,308.871983
nearest_neighbors,25,159.139563
estimate_transform,25,0.440857
profile_metrics,25,308.850874
nearest_neighbors,26,159.281366
estimate_transform,26,0.398707
profile_metrics,26,310.722331
nearest_neighbors,27,160.451838
estimate_transform,27,0.437105
profile_metrics,27,310.388275
nearest_neighbors,28,161.319195
estimate_transform,28,0.423927
profile_metrics,28,310.769045
nearest_neighbors,29,161.636665
estimate_transform,29,0.400424
profile_metrics,29,314.219514
nearest_neighbors,30,158.961546
estimate_transform,30,0.350520
profile_metrics,30,312.350517
nearest_neighbors,31,158.301501
estimate_transform,31,0.424560
profile_metrics,31,311.305257
nearest_neighbors,32,156.315224
estimate_transform,32,0.407246
profile_metrics,32,310.039304
nearest_neighbors,33,152.040196
estimate_transform,33,0.381793
profile_metrics,33,314.042995
nearest_neighbors,34,152.672048
estimate_transform,34,0.470080
profile_metrics,34,316.674643
nearest_neighbors,35,155.181035
estimate_transform,35,0.418762
profile_metrics,35,325.046664
nearest_neighbors,36,157.518100
estimate_transform,36,0.389099
profile_metrics,36,326.755955
nearest_neighbors,37,159.190182
estimate_transform,37,0.449950
profile_metrics,37,328.575986
nearest_neighbors,38,160.377676
estimate_transform,38,0.452400
profile_metrics,38,331.544251
nearest_neighbors,39,159.550819
estimate_transform,39,0.343825
profile_metrics,39,332.150797
nearest_neighbors,40,162.393360
estimate_transform,40,0.449024
profile_metrics,40,330.291648
nearest_neighbors,41,159.821855
estimate_transform,41,0.385615
profile_metrics,41,332.593456
nearest_neighbors,42,162.614555
estimate_transform,42,0.447497
profile_metrics,42,334.256624
nearest_neighbors,43,161.553590
estimate_transform,43,0.414615
profile_metrics,43,334.496193
nearest_neighbors,44,161.746481
estimate_transform,44,0.447825
profile_metrics,44,334.373912
nearest_neighbors,45,161.970712
estimate_transform,45,0.421583
profile_metrics,45,335.355444
