region,iteration,milliseconds
generate_target,0,11.466453
prepare_source,0,19.825332
grid_index_icp,0,2.645065
profile_metrics,0,412.922246
nearest_neighbors,1,196.329578
estimate_transform,1,0.329745
profile_metrics,1,405.609697
nearest_neighbors,2,191.028216
estimate_transform,2,0.501676
profile_metrics,2,393.053913
nearest_neighbors,3,186.764636
estimate_transform,3,0.342517
profile_metrics,3,382.858200
nearest_neighbors,4,183.892670
estimate_transform,4,0.329419
profile_metrics,4,379.246159
nearest_neighbors,5,181.792068
estimate_transform,5,0.308674
profile_metrics,5,376.759282
nearest_neighbors,6,176.014064
estimate_transform,6,0.317621
profile_metrics,6,366.083903
nearest_neighbors,7,176.173737
estimate_transform,7,0.309468
profile_metrics,7,369.657054
nearest_neighbors,8,178.542813
estimate_transform,8,0.363206
profile_metrics,8,349.936543
nearest_neighbors,9,166.504485
estimate_transform,9,0.294164
profile_metrics,9,340.812312
nearest_neighbors,10,163.915886
estimate_transform,10,0.382559
profile_metrics,10,331.279963
nearest_neighbors,11,160.581165
estimate_transform,11,0.360824
profile_metrics,11,328.387825
nearest_neighbors,12,158.430517
estimate_transform,12,0.381313
profile_metrics,12,320.790960
nearest_neighbors,13,157.034394
estimate_transform,13,0.359317
profile_metrics,13,320.859475
nearest_neighbors,14,154.729492
estimate_transform,14,0.331164
profile_metrics,14,314.241462
nearest_neighbors,15,154.798446
estimate_transform,15,0.486752
profile_metrics,15,308.185437
nearest_neighbors,16,152.668595
estimate_transform,16,0.378749
profile_metrics,16,306.033967
nearest_neighbors,17,150.739776
estimate_transform,17,0.349956
profile_metrics,17,303.766980
nearest_neighbors,18,149.531402
estimate_transform,18,0.303368
profile_metrics,18,298.664701
nearest_neighbors,19,149.553949
estimate_transform,19,0.385719
profile_metrics,19,298.378548
nearest_neighbors,20,149.515578
estimate_transform,20,0.448822
profile_metrics,20,296.881882
nearest_neighbors,21,150.748653
estimate_transform,21,0.378765
profile_metrics,21,300.995914
nearest_neighbors,22,151.526446
estimate_transform,22,0.376950
profile_metrics,22,299.734315
nearest_neighbors,23,153.679735
estimate_transform,23,0.423430
profile_metrics,23,302.864640
nearest_neighbors,24,157.631813
estimate_transform,24,0.445293
profile_metrics,24,309.594394
nearest_neighbors,25,159.796113
estimate_transform,25,0.374890
profile_metrics,25,312.216184
nearest_neighbors,26,161.890087
estimate_transform,26,0.333407
profile_metrics,26,313.641655
nearest_neighbors,27,161.365865
estimate_transform,27,0.472768
profile_metrics,27,310.147934
nearest_neighbors,28,163.646809
estimate_transform,28,0.415062
profile_metrics,28,314.282201
nearest_neighbors,29,161.425799
estimate_transform,29,0.332425
profile_metrics,29,314.764594
nearest_neighbors,30,162.236561
estimate_transform,30,0.336126
profile_metrics,30,312.910676
nearest_neighbors,31,160.061896
estimate_transform,31,0.426591
profile_metrics,31,316.293709
nearest_neighbors,32,156.740526
estimate_transform,32,0.371164
profile_metrics,32,310.043257
nearest_neighbors,33,153.882311
estimate_transform,33,0.362952
profile_metrics,33,315.289284
nearest_neighbors,34,155.127396
estimate_transform,34,0.437521
profile_metrics,34,321.443227
nearest_neighbors,35,156.500137
estimate_transform,35,0.334385
profile_metrics,35,327.609699
nearest_neighbors,36,159.172917
estimate_transform,36,0.446831
profile_metrics,36,328.568612
nearest_neighbors,37,160.676200
estimate_transform,37,0.352140
profile_metrics,37,331.537880
nearest_neighbors,38,161.963679
estimate_transform,38,0.450472
profile_metrics,38,335.349379
nearest_neighbors,39,162.385554
estimate_transform,39,0.316430
profile_metrics,39,335.583713
nearest_neighbors,40,162.160237
estimate_transform,40,0.434297
profile_metrics,40,334.218915
nearest_neighbors,41,162.559958
estimate_transform,41,0.411460
profile_metrics,41,337.326776
nearest_neighbors,42,163.713728
estimate_transform,42,0.361397
profile_metrics,42,336.424222
nearest_neighbors,43,163.354543
estimate_transform,43,0.383290
profile_metrics,43,335.488924
nearest_neighbors,44,162.923254
estimate_transform,44,0.364711
profile_metrics,44,339.826889
nearest_neighbors,45,163.035430
estimate_transform,45,0.324490
profile_metrics,45,335.537935
