run,region,iteration,milliseconds
1,target_generation,0,18.875
1,source_preparation,0,32.927
1,grid_construction,0,4.01330
1,nearest_neighbors,1,418.82549
1,rigid_transform,1,0.51956
1,profile_metrics,1,864.68952
1,nearest_neighbors,2,430.66123300
1,rigid_transform,2,0.70992700
1,profile_metrics,2,787.36536500
1,nearest_neighbors,3,387.91454600
1,rigid_transform,3,0.59585800
1,profile_metrics,3,828.45825000
1,nearest_neighbors,4,354.12227100
1,rigid_transform,4,0.43950000
1,profile_metrics,4,727.78640300
1,nearest_neighbors,5,378.01727500
1,rigid_transform,5,0.45556200
1,profile_metrics,5,763.43452600
1,nearest_neighbors,6,339.99779900
1,rigid_transform,6,0.55045400
1,profile_metrics,6,706.17116600
1,nearest_neighbors,7,347.13670600
1,rigid_transform,7,0.56058800
1,profile_metrics,7,694.29625900
1,nearest_neighbors,8,328.05080600
1,rigid_transform,8,0.56965600
1,profile_metrics,8,673.92343800
1,nearest_neighbors,9,323.50039100
1,rigid_transform,9,0.52189000
1,profile_metrics,9,649.56296200
1,nearest_neighbors,10,319.86564800
1,rigid_transform,10,0.55061500
1,profile_metrics,10,647.37906800
1,nearest_neighbors,11,311.93641800
1,rigid_transform,11,0.56543900
1,profile_metrics,11,640.35974400
1,nearest_neighbors,12,307.92805100
1,rigid_transform,12,0.58619900
1,profile_metrics,12,627.44829300
1,nearest_neighbors,13,322.10236300
1,rigid_transform,13,0.55663600
1,profile_metrics,13,598.48742900
1,nearest_neighbors,14,300.94868800
1,rigid_transform,14,0.58445800
1,profile_metrics,14,589.06399300
1,nearest_neighbors,15,298.77497600
1,rigid_transform,15,0.58843000
1,profile_metrics,15,590.71945000
1,nearest_neighbors,16,301.59424200
1,rigid_transform,16,0.56046800
1,profile_metrics,16,594.38523600
1,nearest_neighbors,17,290.02999600
1,rigid_transform,17,0.56720500
1,profile_metrics,17,564.97787900
1,nearest_neighbors,18,283.82014700
1,rigid_transform,18,0.57442300
1,profile_metrics,18,576.67926300
1,nearest_neighbors,19,284.99317500
1,rigid_transform,19,0.56893200
1,profile_metrics,19,563.03272600
1,nearest_neighbors,20,342.03559900
1,rigid_transform,20,0.60657600
1,profile_metrics,20,570.20420800
1,nearest_neighbors,21,297.45567100
1,rigid_transform,21,0.60653800
1,profile_metrics,21,569.39235200
1,nearest_neighbors,22,296.08259000
1,rigid_transform,22,0.60853700
1,profile_metrics,22,570.33235800
1,nearest_neighbors,23,294.71507600
1,rigid_transform,23,0.61920400
1,profile_metrics,23,569.40787700
1,nearest_neighbors,24,302.28282900
1,rigid_transform,24,0.60671100
1,profile_metrics,24,567.18467800
1,nearest_neighbors,25,310.63617900
1,rigid_transform,25,0.61677700
1,profile_metrics,25,591.87673000
1,nearest_neighbors,26,295.84240500
1,rigid_transform,26,0.77036600
1,profile_metrics,26,604.63827200
1,nearest_neighbors,27,309.56650800
1,rigid_transform,27,0.63234000
