region,iteration,mean_ms,stdev_ms,min_ms,max_ms,n_runs
estimate_transform,1,0.780842,0.218745,0.531762,0.941695,3
estimate_transform,2,0.642905,0.156763,0.473923,0.783597,3
estimate_transform,3,0.748244,0.190526,0.543044,0.919544,3
estimate_transform,4,1.963064,1.852259,0.884587,4.101842,3
estimate_transform,5,1.173142,0.764688,0.498249,2.003678,3
estimate_transform,6,0.565877,0.076949,0.499943,0.650426,3
estimate_transform,7,0.818687,0.255868,0.533105,1.027056,3
estimate_transform,8,0.750057,0.133078,0.600532,0.855502,3
estimate_transform,9,1.616581,1.654143,0.457312,3.510848,3
estimate_transform,10,0.667628,0.036465,0.633915,0.706331,3
estimate_transform,11,0.651058,0.169149,0.505593,0.836668,3
estimate_transform,12,0.667959,0.312622,0.467121,1.028149,3
estimate_transform,13,1.065686,0.530675,0.567830,1.624002,3
estimate_transform,14,0.790560,0.378631,0.546941,1.226772,3
estimate_transform,15,0.739999,0.331016,0.514821,1.120062,3
estimate_transform,16,0.765734,0.132916,0.657821,0.914203,3
estimate_transform,17,0.884564,0.284005,0.599209,1.167200,3
estimate_transform,18,0.991659,0.522162,0.552351,1.568957,3
estimate_transform,19,1.264287,0.604745,0.602616,1.788412,3
estimate_transform,20,0.858522,0.233531,0.595072,1.040071,3
estimate_transform,21,0.886582,0.248269,0.600071,1.038288,3
estimate_transform,22,0.582939,0.087809,0.497117,0.672608,3
estimate_transform,23,1.075063,0.077717,0.985397,1.123037,3
estimate_transform,24,0.751998,0.253927,0.601364,1.045170,3
estimate_transform,25,0.826705,0.204079,0.659914,1.054267,3
estimate_transform,26,1.574926,1.229058,0.714327,2.982523,3
estimate_transform,27,0.901516,0.183937,0.689239,1.013701,3
estimate_transform,28,0.678586,0.075051,0.601514,0.751437,3
estimate_transform,29,1.202483,0.197805,1.061561,1.428613,3
estimate_transform,30,2.360690,2.696265,0.591856,5.463950,3
estimate_transform,31,1.018540,0.409375,0.584632,1.397915,3
estimate_transform,32,1.211390,0.168984,1.109492,1.406451,3
estimate_transform,33,1.030379,0.661380,0.640087,1.794012,3
estimate_transform,34,2.168505,1.604175,0.610902,3.815513,3
estimate_transform,35,1.162612,0.086065,1.112357,1.261989,3
estimate_transform,36,0.972941,0.374297,0.542453,1.221482,3
estimate_transform,37,0.752686,0.274387,0.592878,1.069517,3
estimate_transform,38,0.812117,0.271011,0.557661,1.097098,3
estimate_transform,39,1.323735,0.910258,0.613857,2.349960,3
estimate_transform,40,0.832035,0.296817,0.614819,1.170236,3
estimate_transform,41,0.825105,0.272560,0.581286,1.119360,3
estimate_transform,42,0.593640,0.051314,0.535340,0.631952,3
estimate_transform,43,1.097569,0.173226,0.974347,1.295633,3
estimate_transform,44,1.761270,0.703692,1.057654,2.465037,3
estimate_transform,45,1.186958,0.524935,0.586746,1.560321,3
export_reconstruction,0,3430.907043,120.259498,3305.323175,3545.020180,3
generate_target,0,7.679427,0.496966,7.205784,8.196822,3
grid_index_icp,0,4.480066,0.750034,3.867511,5.316563,3
nearest_neighbors,1,305.347449,60.407172,270.292519,375.099336,3
nearest_neighbors,2,272.672606,1.074998,271.626801,273.774593,3
nearest_neighbors,3,289.376037,57.518359,254.435744,355.761862,3
nearest_neighbors,4,271.419331,27.026548,253.143388,302.464532,3
nearest_neighbors,5,252.890211,2.031393,250.558114,254.274324,3
nearest_neighbors,6,254.667445,14.731446,240.613769,269.994051,3
nearest_neighbors,7,260.277827,18.611554,248.143065,281.705892,3
nearest_neighbors,8,238.058415,4.419912,233.935258,242.724855,3
nearest_neighbors,9,263.424102,1.003011,262.400452,264.405115,3
nearest_neighbors,10,286.425576,43.568929,247.285523,333.368834,3
nearest_neighbors,11,269.366861,50.190654,236.891672,327.175159,3
nearest_neighbors,12,250.443289,18.997399,237.504036,272.253481,3
nearest_neighbors,13,240.258796,23.112924,226.622711,266.945159,3
nearest_neighbors,14,217.035241,4.427833,213.002752,221.773613,3
nearest_neighbors,15,241.347496,17.033524,221.798300,252.996299,3
nearest_neighbors,16,214.633985,6.238445,208.224849,220.686434,3
nearest_neighbors,17,263.579462,84.105504,204.542688,359.879061,3
nearest_neighbors,18,217.133610,15.726876,204.723819,234.820337,3
nearest_neighbors,19,218.415860,14.424400,209.772487,235.067688,3
nearest_neighbors,20,213.965441,12.258544,203.670884,227.526308,3
nearest_neighbors,21,214.969995,10.457770,207.238618,226.869008,3
nearest_neighbors,22,217.199905,8.735657,208.723780,226.173808,3
nearest_neighbors,23,217.675388,5.060191,214.406773,223.504055,3
nearest_neighbors,24,217.612443,12.670725,209.614676,232.221419,3
nearest_neighbors,25,224.909592,12.409342,216.706766,239.185827,3
nearest_neighbors,26,228.302304,18.612555,207.234529,242.515711,3
nearest_neighbors,27,223.174218,10.735384,216.618854,235.563369,3
nearest_neighbors,28,226.640389,3.619539,224.109735,230.786324,3
nearest_neighbors,29,238.312896,23.355885,212.081898,256.855033,3
nearest_neighbors,30,229.286664,9.411930,222.897657,240.094962,3
nearest_neighbors,31,232.238511,14.222647,216.795864,244.799998,3
nearest_neighbors,32,217.310624,6.829820,209.453613,221.828174,3
nearest_neighbors,33,231.534989,21.538313,207.250650,248.324966,3
nearest_neighbors,34,235.421539,31.941410,203.048349,266.912907,3
nearest_neighbors,35,245.114128,29.802036,211.817460,269.289765,3
nearest_neighbors,36,252.558731,12.638475,239.120623,264.206679,3
nearest_neighbors,37,250.902716,46.607102,219.459438,304.449110,3
nearest_neighbors,38,283.392635,89.707281,229.991730,386.960855,3
nearest_neighbors,39,251.709059,38.118803,225.748644,295.472148,3
nearest_neighbors,40,291.747280,75.708861,231.031063,376.575448,3
nearest_neighbors,41,238.422777,20.077407,221.030140,260.394049,3
nearest_neighbors,42,235.131259,16.775960,217.691516,251.153483,3
nearest_neighbors,43,241.808646,15.788756,223.592961,251.569493,3
nearest_neighbors,44,234.888415,21.523686,215.442654,258.015245,3
nearest_neighbors,45,243.526314,26.602519,220.699136,272.741138,3
prepare_source,0,21.904232,0.990520,21.204413,23.037608,3
profile_metrics,0,624.438259,96.909415,565.493674,736.285223,3
profile_metrics,1,696.599177,223.404509,561.250946,954.457984,3
profile_metrics,2,553.337796,13.251395,544.313127,568.551345,3
profile_metrics,3,543.805293,28.410474,526.508863,576.594348,3
profile_metrics,4,535.613664,26.237191,511.883457,563.789750,3
profile_metrics,5,513.584300,15.496629,497.669452,528.625771,3
profile_metrics,6,546.245407,47.063401,495.797039,588.967744,3
profile_metrics,7,516.764920,33.204961,496.938812,555.099154,3
profile_metrics,8,568.872264,84.910852,495.592711,661.925098,3
profile_metrics,9,528.237828,36.730050,495.732137,568.083715,3
profile_metrics,10,534.418627,47.978588,483.537550,578.840260,3
profile_metrics,11,477.888202,12.534818,465.344365,490.413982,3
profile_metrics,12,510.682097,50.239235,461.387096,561.815119,3
profile_metrics,13,476.611683,31.498363,446.626110,509.431302,3
profile_metrics,14,523.151323,127.543225,447.803850,670.412208,3
profile_metrics,15,443.511492,15.927941,426.701678,458.379520,3
profile_metrics,16,425.854233,9.482264,415.053416,432.810305,3
profile_metrics,17,457.549055,50.499218,421.534654,515.272665,3
profile_metrics,18,449.626323,33.173830,412.053651,474.872047,3
profile_metrics,19,434.118577,25.869624,409.896339,461.369043,3
profile_metrics,20,422.035662,24.210643,402.974025,449.276526,3
profile_metrics,21,416.964876,13.124056,402.403494,427.880873,3
profile_metrics,22,420.005749,17.413576,402.142307,436.931575,3
profile_metrics,23,425.573138,11.752540,416.442115,438.832930,3
profile_metrics,24,425.086179,8.095270,417.272750,433.436556,3
profile_metrics,25,442.878580,21.328080,418.251560,455.331295,3
profile_metrics,26,429.567614,16.872208,411.184618,444.346643,3
profile_metrics,27,420.439634,13.251614,407.500228,433.982816,3
profile_metrics,28,443.118367,24.251752,415.593470,461.345399,3
profile_metrics,29,441.608918,15.147633,424.176560,451.564230,3
profile_metrics,30,435.875392,12.369510,421.879569,445.341599,3
profile_metrics,31,445.956767,27.913482,420.910903,476.049303,3
profile_metrics,32,465.045827,72.174382,407.359438,545.978865,3
profile_metrics,33,476.136945,70.604054,416.481524,554.087992,3
profile_metrics,34,470.019111,66.045033,416.829119,543.943431,3
profile_metrics,35,484.834089,56.072265,432.564632,544.060007,3
profile_metrics,36,609.521594,129.716566,468.777711,724.275481,3
profile_metrics,37,491.452025,31.393959,456.115836,516.126970,3
profile_metrics,38,521.093516,24.133439,501.467876,548.039596,3
profile_metrics,39,559.425146,73.257168,487.884274,634.285740,3
profile_metrics,40,514.846911,48.593350,467.585066,564.670432,3
profile_metrics,41,482.032205,18.844645,463.911502,501.525712,3
profile_metrics,42,500.722809,54.418614,468.445129,563.552109,3
profile_metrics,43,494.689746,35.160263,468.913407,534.742771,3
profile_metrics,44,475.419937,33.408337,451.643229,513.616428,3
profile_metrics,45,464.831473,13.427546,454.644809,480.047695,3
render_motion_frame,0,3.173626,0.643915,2.544337,3.831233,3
render_motion_frame,1,3.105331,0.294068,2.794508,3.379140,3
render_motion_frame,2,4.165346,0.139899,4.027162,4.306899,3
render_motion_frame,3,4.450994,0.190349,4.306979,4.666798,3
render_motion_frame,4,5.280524,0.499097,4.913242,5.848776,3
render_motion_frame,5,6.570420,1.108496,5.327002,7.455184,3
render_motion_frame,6,6.838552,0.506120,6.375779,7.379031,3
render_motion_frame,7,9.399613,2.942907,7.600388,12.795782,3
render_motion_frame,8,12.609130,3.715095,8.748452,16.159132,3
render_motion_frame,9,9.296826,0.241880,9.018431,9.455474,3
render_motion_frame,10,10.071059,0.802608,9.418165,10.967135,3
render_motion_frame,11,12.282110,2.091175,10.884729,14.686235,3
render_motion_frame,12,11.332693,0.290329,11.047926,11.628281,3
render_motion_frame,13,12.407213,0.431530,12.156797,12.905499,3
render_motion_frame,14,14.325368,3.041691,12.452895,17.834981,3
render_motion_frame,15,17.558436,6.232178,13.552808,24.738726,3
render_motion_frame,16,16.018911,1.970440,14.693058,18.283156,3
render_motion_frame,17,19.247264,4.063292,14.741590,22.633468,3
render_motion_frame,18,19.720232,4.102589,17.163145,24.452355,3
render_motion_frame,19,17.739287,0.171647,17.545255,17.871320,3
render_motion_frame,20,18.596867,2.067855,16.927721,20.910118,3
render_motion_frame,21,18.802983,0.635375,18.139034,19.405292,3
render_motion_frame,22,19.799822,0.866044,18.998013,20.718277,3
render_motion_frame,23,20.006228,1.486560,18.864411,21.687114,3
render_motion_frame,24,20.987367,0.431803,20.513400,21.358403,3
render_motion_frame,25,22.782120,1.358529,21.703493,24.307854,3
render_motion_frame,26,25.404130,1.937270,23.251161,27.006501,3
render_motion_frame,27,26.769250,6.635640,22.607759,34.421639,3
render_motion_frame,28,26.545161,2.876447,24.608591,29.850372,3
