region,iteration,milliseconds
generate_target,0,7.205784
prepare_source,0,21.470675
grid_index_icp,0,4.256123
profile_metrics,0,565.493674
nearest_neighbors,1,270.292519
estimate_transform,1,0.869068
profile_metrics,1,561.250946
nearest_neighbors,2,273.774593
estimate_transform,2,0.671195
profile_metrics,2,544.313127
nearest_neighbors,3,257.930506
estimate_transform,3,0.782145
profile_metrics,3,526.508863
nearest_neighbors,4,258.650072
estimate_transform,4,4.101842
profile_metrics,4,531.167786
nearest_neighbors,5,254.274324
estimate_transform,5,1.017498
profile_metrics,5,514.457676
nearest_neighbors,6,253.394515
estimate_transform,6,0.650426
profile_metrics,6,495.797039
nearest_neighbors,7,248.143065
estimate_transform,7,1.027056
profile_metrics,7,496.938812
nearest_neighbors,8,237.515131
estimate_transform,8,0.600532
profile_metrics,8,661.925098
nearest_neighbors,9,262.400452
estimate_transform,9,0.457312
profile_metrics,9,495.732137
nearest_neighbors,10,278.622372
estimate_transform,10,0.706331
profile_metrics,10,483.537550
nearest_neighbors,11,327.175159
estimate_transform,11,0.610912
profile_metrics,11,490.413982
nearest_neighbors,12,241.572350
estimate_transform,12,0.508608
profile_metrics,12,508.844075
nearest_neighbors,13,266.945159
estimate_transform,13,1.624002
profile_metrics,13,509.431302
nearest_neighbors,14,213.002752
estimate_transform,14,0.597967
profile_metrics,14,451.237912
nearest_neighbors,15,249.247889
estimate_transform,15,0.514821
profile_metrics,15,426.701678
nearest_neighbors,16,214.990671
estimate_transform,16,0.725177
profile_metrics,16,429.698978
nearest_neighbors,17,359.879061
estimate_transform,17,0.887283
profile_metrics,17,515.272665
nearest_neighbors,18,211.856673
estimate_transform,18,0.853670
profile_metrics,18,461.953272
nearest_neighbors,19,235.067688
estimate_transform,19,0.602616
profile_metrics,19,409.896339
nearest_neighbors,20,210.699131
estimate_transform,20,0.940423
profile_metrics,20,413.856434
nearest_neighbors,21,207.238618
estimate_transform,21,1.021386
profile_metrics,21,402.403494
nearest_neighbors,22,216.702127
estimate_transform,22,0.579092
profile_metrics,22,420.943364
nearest_neighbors,23,215.115336
estimate_transform,23,1.116755
profile_metrics,23,421.444369
nearest_neighbors,24,209.614676
estimate_transform,24,0.609459
profile_metrics,24,424.549232
nearest_neighbors,25,216.706766
estimate_transform,25,0.659914
profile_metrics,25,418.251560
nearest_neighbors,26,207.234529
estimate_transform,26,2.982523
profile_metrics,26,411.184618
nearest_neighbors,27,217.340430
estimate_transform,27,1.013701
profile_metrics,27,419.835857
nearest_neighbors,28,225.025107
estimate_transform,28,0.751437
profile_metrics,28,415.593470
nearest_neighbors,29,212.081898
estimate_transform,29,1.117276
profile_metrics,29,424.176560
nearest_neighbors,30,222.897657
estimate_transform,30,0.591856
profile_metrics,30,421.879569
nearest_neighbors,31,216.795864
estimate_transform,31,0.584632
profile_metrics,31,420.910903
nearest_neighbors,32,209.453613
estimate_transform,32,1.109492
profile_metrics,32,407.359438
nearest_neighbors,33,207.250650
estimate_transform,33,0.640087
profile_metrics,33,416.481524
nearest_neighbors,34,203.048349
estimate_transform,34,0.610902
profile_metrics,34,416.829119
nearest_neighbors,35,211.817460
estimate_transform,35,1.112357
profile_metrics,35,432.564632
nearest_neighbors,36,264.206679
estimate_transform,36,0.542453
profile_metrics,36,724.275481
nearest_neighbors,37,304.449110
estimate_transform,37,1.069517
profile_metrics,37,502.113270
nearest_neighbors,38,229.991730
estimate_transform,38,1.097098
profile_metrics,38,548.039596
nearest_neighbors,39,295.472148
estimate_transform,39,2.349960
profile_metrics,39,634.285740
nearest_neighbors,40,376.575448
estimate_transform,40,0.711050
profile_metrics,40,512.285236
nearest_neighbors,41,233.844143
estimate_transform,41,0.581286
profile_metrics,41,501.525712
nearest_neighbors,42,251.153483
estimate_transform,42,0.535340
profile_metrics,42,563.552109
nearest_neighbors,43,250.263485
estimate_transform,43,0.974347
profile_metrics,43,534.742771
nearest_neighbors,44,215.442654
estimate_transform,44,1.057654
profile_metrics,44,451.643229
nearest_neighbors,45,272.741138
estimate_transform,45,1.413806
profile_metrics,45,480.047695
render_motion_frame,0,2.544337
render_motion_frame,1,2.794508
render_motion_frame,2,4.027162
render_motion_frame,3,4.306979
render_motion_frame,4,4.913242
render_motion_frame,5,5.327002
render_motion_frame,6,6.375779
render_motion_frame,7,7.600388
render_motion_frame,8,12.919805
render_motion_frame,9,9.455474
render_motion_frame,10,9.418165
render_motion_frame,11,10.884729
render_motion_frame,12,11.047926
render_motion_frame,13,12.159342
render_motion_frame,14,12.452895
render_motion_frame,15,13.552808
render_motion_frame,16,14.693058
render_motion_frame,17,20.366734
render_motion_frame,18,24.452355
render_motion_frame,19,17.801287
render_motion_frame,20,16.927721
render_motion_frame,21,18.139034
render_motion_frame,22,18.998013
render_motion_frame,23,18.864411
render_motion_frame,24,20.513400
render_motion_frame,25,21.703493
render_motion_frame,26,23.251161
render_motion_frame,27,34.421639
render_motion_frame,28,25.176521
export_reconstruction,0,3305.323175
